
India(39.5/50 ov) 296/3,Australia,Australia chose to field.,September 24  2023,20230924_172027
India(39.5/50 ov) 296/3,Australia,Australia chose to field.,September 24  2023,20230924_172032
India399/5,"Australia(3/50 ov, T:400) 13/2",Australia need 387 runs from 47 overs.,September 24  2023,20230924_190047
